Period,Code,Revenue,Expense,Profit
2021-01-01,418,347.0,48.944053342928,298.055946657072
2021-01-01,121,29.0,8.022026671464003,20.977973328535995
2021-01-01,117,80.0,20.35608001439201,59.643919985607994
2021-01-01,324,509.0,145.19648008635204,363.80351991364796
2021-01-01,323,298.0,86.28824004317602,211.71175995682398
2021-01-01,015,83.0,43.322160028784026,39.677839971215974
2021-01-01,526,205.0,71.24824004317603,133.75175995682397
2021-01-01,743,112.0,39.87216002878402,72.12783997121598
2021-01-01,455,72.0,20.776080014392008,51.22391998560799
2021-01-02,728,423.0,114.80648008635207,308.19351991364795
2021-01-02,586,168.0,55.838240043176036,112.16175995682397
2021-01-02,522,133.0,66.55824004317603,66.44175995682397
2021-01-02,965,168.0,133.7339627031232,34.26603729687679
2021-01-02,417,377.0,65.71216002878403,311.287839971216
2021-01-02,744,274.0,37.68608001439201,236.31391998560798
2021-01-02,250,114.0,76.17432005756802,37.825679942431975
2021-01-02,966,74.0,27.596080014392008,46.40391998560799
2021-01-02,455,72.0,20.776080014392008,51.22391998560799
2021-01-02,825,1025.0,142.0519813515616,882.9480186484384
2021-01-02,811,151.0,25.55608001439201,125.44391998560799
2021-01-02,643,308.0,63.76216002878402,244.23783997121598
2021-01-02,523,200.0,86.44432005756805,113.55567994243195
2021-01-03,526,205.0,71.24824004317603,133.75175995682397
2021-01-03,525,302.0,64.65824004317602,237.34175995682398
2021-01-03,250,114.0,76.17432005756802,37.825679942431975
2021-01-03,874,81.0,70.46432005756805,10.535679942431955
2021-01-03,732,96.0,49.25132090104107,46.74867909895893
2021-01-03,231,74.0,22.87608001439201,51.12391998560799
2021-01-03,873,73.0,123.53396270312322,-50.53396270312322
2021-01-03,072,29.0,17.78608001439201,11.21391998560799
2021-01-04,845,174.0,138.16396270312322,35.83603729687678
2021-01-04,418,347.0,48.944053342928,298.055946657072
2021-01-04,535,242.0,76.44824004317603,165.55175995682396
2021-01-04,532,145.0,53.33824004317603,91.66175995682397
2021-01-04,391,86.0,22.66608001439201,63.33391998560799
2021-01-04,711,396.0,136.49864011513608,259.5013598848639
2021-01-04,419,43.0,18.076080014392012,24.923919985607988
2021-01-04,061,28.0,32.42216002878402,-4.42216002878402
2021-01-04,061,28.0,32.42216002878402,-4.42216002878402
2021-01-04,037,27.0,8.972026671464004,18.027973328535996
2021-01-04,418,347.0,48.944053342928,298.055946657072
2021-01-04,073,28.0,33.30216002878402,-5.302160028784023
2021-01-04,391,86.0,22.66608001439201,63.33391998560799
2021-01-04,411,161.0,22.964053342928004,138.035946657072
2021-01-05,250,114.0,76.17432005756802,37.825679942431975
2021-01-05,732,96.0,49.25132090104107,46.74867909895893
2021-01-05,061,28.0,32.42216002878402,-4.42216002878402
2021-01-05,721,331.0,121.14648008635207,209.85351991364792
2021-01-05,523,200.0,86.44432005756805,113.55567994243195
2021-01-05,577,115.0,26.86608001439201,88.13391998560799
2021-01-05,721,331.0,121.14648008635207,209.85351991364792
2021-01-05,768,141.0,42.822160028784026,98.17783997121597
2021-01-05,743,112.0,39.87216002878402,72.12783997121598
2021-01-05,250,114.0,76.17432005756802,37.825679942431975
2021-01-05,743,112.0,39.87216002878402,72.12783997121598
2021-01-05,927,40.0,32.14216002878402,7.857839971215981
2021-01-06,578,115.0,24.13608001439201,90.86391998560799
2021-01-06,721,331.0,121.14648008635207,209.85351991364792
2021-01-06,825,1025.0,142.0519813515616,882.9480186484384
2021-01-06,768,141.0,42.822160028784026,98.17783997121597
2021-01-06,722,331.0,107.57648008635206,223.42351991364794
2021-01-06,986,71.0,38.43216002878402,32.56783997121598
2021-01-06,418,347.0,48.944053342928,298.055946657072
2021-01-06,833,113.0,96.00297202734241,16.99702797265759
2021-01-06,521,67.0,36.07216002878402,30.92783997121598
2021-01-06,071,33.0,11.464053342928006,21.535946657071996
2021-01-06,572,174.0,66.21824004317602,107.78175995682398
2021-01-06,534,217.0,54.132160028784014,162.86783997121597
2021-01-06,324,509.0,145.19648008635204,363.80351991364796
2021-01-07,651,165.0,50.762160028784024,114.23783997121598
2021-01-07,613,1328.0,226.35432005756803,1101.645679942432
2021-01-07,535,242.0,76.44824004317603,165.55175995682396
2021-01-07,019,12.0,16.346080014392008,-4.346080014392008
2021-01-07,533,186.0,85.97432005756804,100.02567994243196
2021-01-07,613,1328.0,226.35432005756803,1101.645679942432
2021-01-07,121,29.0,8.022026671464003,20.977973328535995
2021-01-07,943,295.0,89.69432005756804,205.30567994243196
2021-01-07,411,161.0,22.964053342928004,138.035946657072
2021-01-07,825,1025.0,142.0519813515616,882.9480186484384
2021-01-08,531,87.0,36.46216002878402,50.53783997121598
2021-01-08,222,44.0,9.532026671464003,34.467973328536
2021-01-08,151,169.0,27.966080014392006,141.033919985608
2021-01-08,731,97.0,86.50264180208214,10.497358197917862
2021-01-08,927,40.0,32.14216002878402,7.857839971215981
2021-01-08,418,347.0,48.944053342928,298.055946657072
2021-01-08,728,423.0,114.80648008635207,308.19351991364795
2021-01-08,768,141.0,42.822160028784026,98.17783997121597
2021-01-08,115,76.0,23.66608001439201,52.33391998560799
2021-01-08,874,81.0,70.46432005756805,10.535679942431955
2021-01-08,123,70.0,10.732026671464002,59.267973328536
2021-01-08,113,86.0,23.23608001439201,62.76391998560799
2021-01-08,643,308.0,63.76216002878402,244.23783997121598
2021-01-09,965,168.0,133.7339627031232,34.26603729687679
2021-01-09,572,174.0,66.21824004317602,107.78175995682398
2021-01-09,578,115.0,24.13608001439201,90.86391998560799
2021-01-09,416,95.0,26.326080014392012,68.673919985608
2021-01-09,743,112.0,39.87216002878402,72.12783997121598
2021-01-09,631,331.0,85.16824004317604,245.83175995682396
2021-01-09,117,80.0,20.35608001439201,59.643919985607994
2021-01-09,966,74.0,27.596080014392008,46.40391998560799
2021-01-09,455,72.0,20.776080014392008,51.22391998560799
2021-01-09,114,83.0,36.442160028784016,46.557839971215984
2021-01-10,012,33.0,18.88608001439201,14.113919985607989
2021-01-10,655,129.0,41.68216002878402,87.31783997121599
2021-01-10,221,45.0,18.46608001439201,26.53391998560799
2021-01-10,213,84.0,39.94216002878402,44.05783997121598
2021-01-10,732,96.0,49.25132090104107,46.74867909895893
2021-01-10,926,451.0,65.58216002878402,385.417839971216
2021-01-10,411,161.0,22.964053342928004,138.035946657072
2021-01-10,416,95.0,26.326080014392012,68.673919985608
2021-01-10,743,112.0,39.87216002878402,72.12783997121598
2021-01-10,736,165.0,52.151320901041075,112.84867909895893
2021-01-10,618,423.0,120.00432005756804,302.99567994243193
2021-01-10,651,165.0,50.762160028784024,114.23783997121598
2021-01-11,419,43.0,18.076080014392012,24.923919985607988
2021-01-11,123,70.0,10.732026671464002,59.267973328536
2021-01-11,324,509.0,145.19648008635204,363.80351991364796
2021-01-11,123,70.0,10.732026671464002,59.267973328536
2021-01-11,574,198.0,25.46608001439201,172.53391998560798
2021-01-11,418,347.0,48.944053342928,298.055946657072
2021-01-11,117,80.0,20.35608001439201,59.643919985607994
2021-01-11,986,71.0,38.43216002878402,32.56783997121598
2021-01-11,825,1025.0,142.0519813515616,882.9480186484384
2021-01-11,926,451.0,65.58216002878402,385.417839971216
2021-01-11,811,151.0,25.55608001439201,125.44391998560799
2021-01-11,431,217.0,54.93216002878402,162.067839971216
2021-01-11,116,40.0,18.57608001439201,21.42391998560799
2021-01-11,521,67.0,36.07216002878402,30.92783997121598
2021-01-11,873,73.0,123.53396270312322,-50.53396270312322
2021-01-11,731,97.0,86.50264180208214,10.497358197917862
2021-01-11,123,70.0,10.732026671464002,59.267973328536
2021-01-11,627,157.0,60.12824004317603,96.87175995682398
2021-01-12,322,199.0,47.86216002878402,151.13783997121598
2021-01-12,015,83.0,43.322160028784026,39.677839971215974
2021-01-12,916,129.0,38.912160028784015,90.08783997121598
2021-01-12,419,43.0,18.076080014392012,24.923919985607988
2021-01-12,627,157.0,60.12824004317603,96.87175995682398
2021-01-12,061,28.0,32.42216002878402,-4.42216002878402
2021-01-12,768,141.0,42.822160028784026,98.17783997121597
2021-01-12,586,168.0,55.838240043176036,112.16175995682397
2021-01-12,525,302.0,64.65824004317602,237.34175995682398
2021-01-13,526,205.0,71.24824004317603,133.75175995682397
2021-01-13,743,112.0,39.87216002878402,72.12783997121598
2021-01-13,574,198.0,25.46608001439201,172.53391998560798
2021-01-13,916,129.0,38.912160028784015,90.08783997121598
2021-01-13,711,396.0,136.49864011513608,259.5013598848639
2021-01-13,323,298.0,86.28824004317602,211.71175995682398
2021-01-13,642,297.0,68.67824004317603,228.32175995682397
2021-01-14,731,97.0,86.50264180208214,10.497358197917862
2021-01-14,833,113.0,96.00297202734241,16.99702797265759
2021-01-14,012,33.0,18.88608001439201,14.113919985607989
2021-01-14,656,129.0,58.38824004317603,70.61175995682396
2021-01-14,231,74.0,22.87608001439201,51.12391998560799
2021-01-14,733,73.0,26.220660450520533,46.77933954947947
2021-01-14,965,168.0,133.7339627031232,34.26603729687679
2021-01-15,874,81.0,70.46432005756805,10.535679942431955
2021-01-15,578,115.0,24.13608001439201,90.86391998560799
2021-01-15,986,71.0,38.43216002878402,32.56783997121598
2021-01-15,115,76.0,23.66608001439201,52.33391998560799
2021-01-15,431,217.0,54.93216002878402,162.067839971216
2021-01-15,578,115.0,24.13608001439201,90.86391998560799
2021-01-15,231,74.0,22.87608001439201,51.12391998560799
