,Period,Code,Revenue,Expense,Profit,Hourly_Period,Year,Quarter
0,2022-01-01,417,377.0,53.22516288281493,323.7748371171851,2022-01-01 11:00:00,2022,Q1
1,2022-01-01,037,27.0,6.890860480469154,20.109139519530846,2022-01-01 16:30:00,2022,Q1
2,2022-01-01,990,134.0,46.89774432422239,87.10225567577761,2022-01-01 08:30:00,2022,Q1
3,2022-01-01,526,205.0,52.517744324222384,152.48225567577762,2022-01-01 13:00:00,2022,Q1
4,2022-01-02,118,56.0,7.338516288281492,48.66148371171851,2022-01-02 14:00:00,2022,Q1
5,2022-01-02,119,197.0,55.452751545457815,141.54724845454217,2022-01-02 08:30:00,2022,Q1
6,2022-01-02,943,295.0,64.72032576562984,230.27967423437016,2022-01-02 08:30:00,2022,Q1
7,2022-01-02,731,97.0,96.61400412122084,0.38599587877915553,2022-01-02 15:00:00,2022,Q1
8,2022-01-02,418,347.0,44.78172096093831,302.2182790390617,2022-01-02 10:00:00,2022,Q1
9,2022-01-03,022,6.0,33.89275154545782,-27.89275154545782,2022-01-03 10:30:00,2022,Q1
10,2022-01-03,652,147.0,30.525162882814925,116.47483711718507,2022-01-03 13:00:00,2022,Q1
11,2022-01-03,245,119.0,24.305162882814926,94.69483711718507,2022-01-03 08:00:00,2022,Q1
12,2022-01-03,324,509.0,107.73548864844477,401.26451135155526,2022-01-03 10:30:00,2022,Q1
13,2022-01-04,111,84.0,13.27258144140746,70.72741855859255,2022-01-04 10:30:00,2022,Q1
14,2022-01-04,324,509.0,107.73548864844477,401.26451135155526,2022-01-04 09:00:00,2022,Q1
15,2022-01-04,324,509.0,107.73548864844477,401.26451135155526,2022-01-04 13:30:00,2022,Q1
16,2022-01-04,221,45.0,12.222581441407462,32.77741855859254,2022-01-04 08:00:00,2022,Q1
17,2022-01-05,577,115.0,20.622581441407462,94.37741855859254,2022-01-05 08:30:00,2022,Q1
18,2022-01-05,728,423.0,77.34548864844477,345.65451135155524,2022-01-05 13:30:00,2022,Q1
19,2022-01-05,526,205.0,52.517744324222384,152.48225567577762,2022-01-05 15:00:00,2022,Q1
20,2022-01-05,323,298.0,67.55774432422238,230.44225567577763,2022-01-05 11:00:00,2022,Q1
21,2022-01-06,324,509.0,107.73548864844477,401.26451135155526,2022-01-06 08:30:00,2022,Q1
22,2022-01-06,323,298.0,67.55774432422238,230.44225567577763,2022-01-06 10:00:00,2022,Q1
23,2022-01-06,531,87.0,23.975162882814924,63.02483711718507,2022-01-06 08:00:00,2022,Q1
24,2022-01-06,171,58.0,5.940860480469154,52.059139519530845,2022-01-06 16:30:00,2022,Q1
25,2022-01-06,213,84.0,27.45516288281492,56.54483711718508,2022-01-06 09:00:00,2022,Q1
26,2022-01-06,018,17.0,10.562581441407463,6.437418558592537,2022-01-06 15:00:00,2022,Q1
27,2022-01-07,323,298.0,67.55774432422238,230.44225567577763,2022-01-07 11:30:00,2022,Q1
28,2022-01-07,768,141.0,30.33516288281492,110.66483711718507,2022-01-07 08:30:00,2022,Q1
29,2022-01-07,927,20.0,19.655162882814924,0.3448371171850759,2022-01-07 08:00:00,2022,Q1
30,2022-01-08,732,96.0,54.30700206061042,41.69299793938958,2022-01-08 16:00:00,2022,Q1
31,2022-01-08,391,86.0,16.42258144140746,69.57741855859254,2022-01-08 14:00:00,2022,Q1
32,2022-01-08,314,143.0,45.64774432422239,97.35225567577761,2022-01-08 11:30:00,2022,Q1
33,2022-01-08,073,28.0,20.815162882814924,7.184837117185076,2022-01-08 15:00:00,2022,Q1
34,2022-01-08,012,33.0,12.642581441407462,20.35741855859254,2022-01-08 13:00:00,2022,Q1
35,2022-01-09,526,205.0,52.517744324222384,152.48225567577762,2022-01-09 11:30:00,2022,Q1
36,2022-01-09,525,302.0,45.92774432422239,256.0722556757776,2022-01-09 08:30:00,2022,Q1
37,2022-01-09,141,14.0,10.062581441407463,3.9374185585925368,2022-01-09 08:00:00,2022,Q1
