EBIT,EBIT Ratio,Net Sales Growth,Net Sales,COGS and Expense,Expected EBIT Next Year,EBIT Multiple
0,0.0,0.0,,,0.0,0.0
0,0.0,0.05,,,0.0,0.0
0,0.0,0.1,,,0.0,0.0
0,0.0,0.15,,,0.0,0.0
0,0.0,0.2,,,0.0,0.0
0,0.0,0.3,,,0.0,0.0
0,0.0,0.4,,,0.0,0.0
0,0.1,0.0,0.0,0.0,0.0,0.0
0,0.1,0.05,0.0,0.0,0.0,0.0
0,0.1,0.1,0.0,0.0,0.0,0.0
0,0.1,0.15,0.0,0.0,0.0,0.0
0,0.1,0.2,0.0,0.0,0.0,0.0
0,0.1,0.3,0.0,0.0,0.0,0.0
0,0.1,0.4,0.0,0.0,0.0,0.0
0,0.22,0.0,0.0,0.0,0.0,0.0
0,0.22,0.05,0.0,0.0,0.0,0.0
0,0.22,0.1,0.0,0.0,0.0,0.0
0,0.22,0.15,0.0,0.0,0.0,0.0
0,0.22,0.2,0.0,0.0,0.0,0.0
0,0.22,0.3,0.0,0.0,0.0,0.0
0,0.22,0.4,0.0,0.0,0.0,0.0
0,0.3,0.0,0.0,0.0,0.0,0.0
0,0.3,0.05,0.0,0.0,0.0,0.0
0,0.3,0.1,0.0,0.0,0.0,0.0
0,0.3,0.15,0.0,0.0,0.0,0.0
0,0.3,0.2,0.0,0.0,0.0,0.0
0,0.3,0.3,0.0,0.0,0.0,0.0
0,0.3,0.4,0.0,0.0,0.0,0.0
0,0.4,0.0,0.0,0.0,0.0,0.0
0,0.4,0.05,0.0,0.0,0.0,0.0
0,0.4,0.1,0.0,0.0,0.0,0.0
0,0.4,0.15,0.0,0.0,0.0,0.0
0,0.4,0.2,0.0,0.0,0.0,0.0
0,0.4,0.3,0.0,0.0,0.0,0.0
0,0.4,0.4,0.0,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0
0,0.5,0.05,0.0,0.0,0.0,0.0
0,0.5,0.1,0.0,0.0,0.0,0.0
0,0.5,0.15,0.0,0.0,0.0,0.0
0,0.5,0.2,0.0,0.0,0.0,0.0
0,0.5,0.3,0.0,0.0,0.0,0.0
0,0.5,0.4,0.0,0.0,0.0,0.0
100000,0.0,0.0,inf,inf,100000.0,0.91
100000,0.0,0.05,inf,inf,105000.0,0.95
100000,0.0,0.1,inf,inf,110000.00000000001,1.0
100000,0.0,0.15,inf,inf,114999.99999999999,1.05
100000,0.0,0.2,inf,inf,120000.0,1.09
100000,0.0,0.3,inf,inf,130000.0,1.18
100000,0.0,0.4,inf,inf,140000.0,1.27
100000,0.1,0.0,1000000.0,900000.0,100000.0,0.91
100000,0.1,0.05,1000000.0,900000.0,105000.0,0.95
100000,0.1,0.1,1000000.0,900000.0,110000.00000000001,1.0
100000,0.1,0.15,1000000.0,900000.0,114999.99999999999,1.05
100000,0.1,0.2,1000000.0,900000.0,120000.0,1.09
100000,0.1,0.3,1000000.0,900000.0,130000.0,1.18
100000,0.1,0.4,1000000.0,900000.0,140000.0,1.27
100000,0.22,0.0,454545.45454545453,354545.45454545453,100000.0,0.91
100000,0.22,0.05,454545.45454545453,354545.45454545453,105000.0,0.95
100000,0.22,0.1,454545.45454545453,354545.45454545453,110000.00000000001,1.0
100000,0.22,0.15,454545.45454545453,354545.45454545453,114999.99999999999,1.05
100000,0.22,0.2,454545.45454545453,354545.45454545453,120000.0,1.09
100000,0.22,0.3,454545.45454545453,354545.45454545453,130000.0,1.18
100000,0.22,0.4,454545.45454545453,354545.45454545453,140000.0,1.27
100000,0.3,0.0,333333.3333333334,233333.33333333337,100000.0,0.91
100000,0.3,0.05,333333.3333333334,233333.33333333337,105000.0,0.95
100000,0.3,0.1,333333.3333333334,233333.33333333337,110000.00000000001,1.0
100000,0.3,0.15,333333.3333333334,233333.33333333337,114999.99999999999,1.05
100000,0.3,0.2,333333.3333333334,233333.33333333337,120000.0,1.09
100000,0.3,0.3,333333.3333333334,233333.33333333337,130000.0,1.18
100000,0.3,0.4,333333.3333333334,233333.33333333337,140000.0,1.27
100000,0.4,0.0,250000.0,150000.0,100000.0,0.91
100000,0.4,0.05,250000.0,150000.0,105000.0,0.95
100000,0.4,0.1,250000.0,150000.0,110000.00000000001,1.0
100000,0.4,0.15,250000.0,150000.0,114999.99999999999,1.05
100000,0.4,0.2,250000.0,150000.0,120000.0,1.09
100000,0.4,0.3,250000.0,150000.0,130000.0,1.18
100000,0.4,0.4,250000.0,150000.0,140000.0,1.27
100000,0.5,0.0,200000.0,100000.0,100000.0,0.91
100000,0.5,0.05,200000.0,100000.0,105000.0,0.95
100000,0.5,0.1,200000.0,100000.0,110000.00000000001,1.0
100000,0.5,0.15,200000.0,100000.0,114999.99999999999,1.05
100000,0.5,0.2,200000.0,100000.0,120000.0,1.09
100000,0.5,0.3,200000.0,100000.0,130000.0,1.18
100000,0.5,0.4,200000.0,100000.0,140000.0,1.27
250000,0.0,0.0,inf,inf,250000.0,2.27
250000,0.0,0.05,inf,inf,262500.0,2.39
250000,0.0,0.1,inf,inf,275000.0,2.5
250000,0.0,0.15,inf,inf,287500.0,2.61
250000,0.0,0.2,inf,inf,300000.0,2.73
250000,0.0,0.3,inf,inf,325000.0,2.95
250000,0.0,0.4,inf,inf,350000.0,3.18
250000,0.1,0.0,2500000.0,2250000.0,250000.0,2.27
250000,0.1,0.05,2500000.0,2250000.0,262500.0,2.39
250000,0.1,0.1,2500000.0,2250000.0,275000.0,2.5
250000,0.1,0.15,2500000.0,2250000.0,287500.0,2.61
250000,0.1,0.2,2500000.0,2250000.0,300000.0,2.73
250000,0.1,0.3,2500000.0,2250000.0,325000.0,2.95
250000,0.1,0.4,2500000.0,2250000.0,350000.0,3.18
250000,0.22,0.0,1136363.6363636365,886363.6363636365,250000.0,2.27
250000,0.22,0.05,1136363.6363636365,886363.6363636365,262500.0,2.39
250000,0.22,0.1,1136363.6363636365,886363.6363636365,275000.0,2.5
250000,0.22,0.15,1136363.6363636365,886363.6363636365,287500.0,2.61
250000,0.22,0.2,1136363.6363636365,886363.6363636365,300000.0,2.73
250000,0.22,0.3,1136363.6363636365,886363.6363636365,325000.0,2.95
250000,0.22,0.4,1136363.6363636365,886363.6363636365,350000.0,3.18
250000,0.3,0.0,833333.3333333334,583333.3333333334,250000.0,2.27
250000,0.3,0.05,833333.3333333334,583333.3333333334,262500.0,2.39
